store_id, uptime_last_hour, uptime_last_day, uptime_last_week, downtime_last_hour, downtime_last_day, downtime_last_week
1099483602963486225, 0, 1, 3, 0, 0, 0 
1099493009699104997, 2, 19, 73, 21, 27, 44 
1099833928414184218, 0, 7, 27, 0, 2, 15 
1100614298082810014, 2, 19, 73, 21, 27, 44 
1101491908644610994, 0, 0, 33, 0, 0, 8 
1103291767139706923, 0, 7, 25, 0, 2, 13 
1105570469123927350, 0, 9, 40, 0, 4, 16 
1108305706146473413, 0, 6, 27, 0, 3, 18 
110851142722660937, 2, 8, 31, 11, 18, 21 
1108544069153759179, 4, 38, 179, 19, 8, 97 
1108855933943795950, 4, 38, 165, 19, 8, 89 
1109260002004467961, 0, 9, 24, 0, 3, 9 
1110120941763025868, 0, 11, 38, 0, 1, 12 
1111908011565911561, 0, 0, 1, 0, 0, 0 
1113154600772620212, 2, 19, 85, 21, 27, 63 
1113317606098222174, 0, 0, 74, 0, 0, 43 
1116295273010322427, 0, 12, 49, 0, 1, 16 
1116400750309375246, 3, 14, 53, 14, 20, 19 
1117000796123240530, 0, 2, 9, 0, 1, 3 
1117225057788003557, 0, 0, 9, 0, 0, 37 
1117406928487289377, 5, 39, 176, 18, 7, 96 
1118591033928503491, 0, 12, 54, 0, 6, 28 
1120829635370895609, 0, 1, 3, 0, 0, 0 
1121349216754706654, 0, 2, 8, 0, 0, 2 
1122998944777904413, 0, 2, 8, 0, 0, 2 
1123487660396302079, 0, 4, 28, 0, 0, 11 
1124477734195874697, 0, 9, 32, 0, 2, 15 
1126772962709719755, 0, 0, 17, 0, 0, 11 
1127383672426536793, 5, 37, 168, 18, 9, 92 
1128486872894055949, 0, 9, 28, 0, 0, 10 
1129531468306022080, 0, 8, 11, 0, 0, 5 
1129596624342748847, 2, 9, 37, 12, 19, 19 
112999047392063113, 0, 6, 21, 0, 3, 15 
1133995665442958764, 0, 20, 85, 0, 7, 30 
1135280948905249992, 0, 9, 36, 0, 4, 20 
1136568205036649988, 0, 0, 1, 0, 0, 0 
1136601185047604763, 0, 11, 37, 0, 1, 13 
1137297385488639192, 0, 4, 12, 0, 0, 4 
1137506062745200344, 0, 12, 63, 0, 6, 37 
1138056988177935645, 0, 9, 34, 0, 7, 29 
114242703022172426, 0, 11, 42, 0, 3, 18 
114275044024650773, 0, 5, 15, 0, 2, 6 
1143303858683706929, 2, 19, 75, 21, 27, 44 
1143989207783356090, 0, 8, 28, 0, 2, 14 
1145220256665340940, 0, 10, 37, 0, 2, 15 
114551850046024710, 0, 0, 21, 0, 0, 17 
1147446598188868848, 0, 3, 14, 0, 0, 4 
1149449414046964687, 3, 8, 29, 9, 16, 18 
1149791945071476024, 0, 7, 24, 0, 2, 11 
1150055599174577942, 5, 38, 164, 18, 8, 75 
1150643572166714340, 4, 38, 166, 19, 8, 90 
1151180501635028893, 0, 0, 35, 0, 0, 57 
115153419187560180, 0, 6, 25, 0, 1, 4 
1152281987627715479, 0, 0, 30, 0, 0, 30 
1152492611924511282, 0, 2, 9, 0, 1, 5 
1153213810130720240, 0, 0, 9, 0, 0, 14 
1153407512324830339, 0, 0, 27, 0, 0, 15 
1155524075673736230, 0, 6, 19, 0, 7, 33 
1156603085055048182, 2, 5, 19, 8, 15, 19 
1157040901941323139, 2, 19, 72, 21, 27, 45 
1157403575331456104, 2, 19, 75, 21, 27, 44 
1158893268168195549, 0, 0, 38, 0, 0, 12 
1162838761932847848, 0, 10, 33, 0, 0, 9 
1163783866992181238, 0, 12, 41, 0, 1, 15 
1166676227748031010, 0, 10, 34, 0, 0, 10 
1168158950802293436, 0, 11, 38, 0, 0, 12 
1168653501118413963, 2, 19, 71, 21, 27, 46 
1169347689335808384, 0, 10, 30, 0, 0, 12 
1170561581513852001, 0, 9, 38, 0, 5, 18 
1170809964814331317, 2, 18, 72, 21, 28, 43 
1172980469152334294, 0, 2, 15, 0, 2, 6 
117383178898485873, 0, 5, 23, 0, 7, 25 
1174210677082031554, 0, 2, 7, 0, 0, 1 
1175393438218555947, 0, 10, 32, 0, 2, 16 
117659288711469627, 0, 6, 25, 0, 2, 12 
1177035080301265113, 4, 36, 159, 19, 10, 83 
1178033002921838531, 0, 0, 8, 0, 0, 57 
1178964235062641776, 0, 6, 27, 0, 2, 12 
1181336060537986213, 1, 10, 44, 15, 22, 20 
118180560078308617, 1, 8, 34, 12, 18, 18 
1182199636118279335, 0, 0, 9, 0, 0, 13 
1184862317233235711, 3, 18, 78, 20, 28, 39 
1185838300325525283, 0, 0, 30, 0, 0, 14 
1186140560025319332, 0, 10, 23, 0, 3, 16 
